UNSPSC Number,UNSPSC Description
31151504,NYLON ROPE
31151505,WIRE ROPE
31151609,CHAIN LINKS
31151702,NON ELECTRIC CONTROL CABLES
31151708,GUY CABLES
31151906,RATCHET TIE DOWN STRAP
31161507,TAPPING SCREWS
31161514,WELD SCREWS
31161518,SOCKET SCREW
31161522,EYE SCREW
31161523,WING SCREW
31161603,CARRIAGE BOLTS
31161607,EXPANSION BOLTS
31161609,TOGGLE BOLTS
31161610,EYE BOLTS
31161611,LOCKING BOLTS
31161612,PIN OR COLLAR BOLTS
31161616,U BOLTS
31161618,THREADED ROD
31161619,STUD BOLTS
31161620,HEXAGONAL BOLTS
31161627,BOLT ASSEMBLY
31161631,SHOULDER BOLT
31161635,WASHER ASSEMBLED BOLT
31161638,T BOLT
31161703,BLIND NUTS
31161711,EYE NUTS
31161714,INSERT NUTS
31161716,LOCKNUTS
31161717,WING NUTS
31161721,SPRING NUTS
31161724,PRESS NUTS
31161725,CLIP NUTS
31161727,HEXAGONAL NUTS
31161730,SQUARE NUTS
31161731,WELD NUTS
31161733,T NUT OR T SLOT NUT
31161734,SLOTTED ROUND NUT
31161801,LOCKING WASHERS
31161807,FLAT WASHERS
31161810,SHIM WASHERS
31161811,SPRING WASHERS
31161812,SQUARE WASHERS
31161816,SPACERS OR STANDOFFS
31161817,CONICAL WASHERS
31161818,SEAL WASHERS
31161822,TOOTH LOCK WASHER
31161903,SPIRAL SPRINGS
31161911,SPRING ASSEMBLY
31162201,BLIND RIVETS
31162301,MOUNTING PROFILES
31162303,MOUNTING BARS
31162305,MOUNTING CLIPS
31162307,MOUNTING PLATES
31162310,MOUNTING STRAPS
31162312,MOUNTING PINS
3116231301,KITSET MSI SECTIONS PHANTOM
3116231305,KITS SITE
3116231306,KITS CABLE FALL ARREST
3116231310,KITSET TRANSPORT AND HANDLING EQUIPMENT
3116231315,KITSET SERVICE/REPAIR
3116231320,KITSET BLADE PARTS
31162403,HINGES
31162405,TURNBUCKLES
31162407,LATCH
31162409,CLEVIS PIN
31162412,CLEVIS
31162415,PAWLS
31162420,ENGINEERED HINGE
31162502,ANGLE BRACKETS
31162503,BRACES
31162505,MAGNETIC MOUNTING BRACKETS
31162506,WALL MOUNT BRACKET
31162604,SAFETY HOOKS
31162702,WHEELS
31162801,HANDLES OR KNOBS
31162802,INSERTS
31162809,LOCATING PINS
31162813,WIRE ROPE CLIP
31162814,FASTENER ASSORTMENT KIT
31162815,SHIM
31162901,EAR CLAMPS
31162903,SCREW CLAMPS
31162904,WIRE ROPE CLAMPS
3116290601,HOSE OR PIPE CLAMPS-DIN 3015-1
3116290602,HOSE OR PIPE CLAMPS-DIN 3015-2
3116290603,HOSE OR PIPE CLAMPS-DIN 3015-3
3116290604,HOLDER PLATE
3116290605,FLANGE CLAMP-ISO 6162-1
3116290606,FLANGE CLAMP-ISO 6162-2
3116290607,FLANGE CLAMP-ISO 6162-1 ASSEMBLY
3116290608,FLANGE CLAMP-ISO 6162-2 ASSEMBLY
31163003,METALLIC COUPLINGS
31163009,RIGID COUPLING
31163010,SPIDER COUPLING
31163032,ELECTRICAL COUPLING ADAPTER
31163201,SPRING PINS
31163202,RETAINING RINGS
31163203,DOWEL PIN
31163204,COTTER PIN
31163207,SHAFT OR WOODRUFF KEYS
31163209,BEARING HOLDERS OR RETAINERS
31163211,RETAINING CLIPS
31163212,THREADED PINS
31163226,CIRCLIP
31171501,FLANGED BEARINGS
31171504,BALL BEARINGS
31171505,ROLLER BEARINGS
